[2019-10-26 21:42:09] INFO [run:run.py,18] =====================================测试开始=====================================
[2019-10-26 21:42:09] DEBUG [_new_conn:connectionpool.py,225] Starting new HTTP connection (1): 127.0.0.1:8888
[2019-10-26 21:42:09] DEBUG [_make_request:connectionpool.py,437] http://127.0.0.1:8888 "POST /login HTTP/1.1" 200 40
[2019-10-26 21:42:09] DEBUG [_new_conn:connectionpool.py,225] Starting new HTTP connection (1): 127.0.0.1:8888
[2019-10-26 21:42:09] DEBUG [_make_request:connectionpool.py,437] http://127.0.0.1:8888 "POST /login HTTP/1.1" 200 45
[2019-10-26 21:42:09] DEBUG [_new_conn:connectionpool.py,225] Starting new HTTP connection (1): 127.0.0.1:8888
[2019-10-26 21:42:09] DEBUG [_make_request:connectionpool.py,437] http://127.0.0.1:8888 "POST /login HTTP/1.1" 200 51
[2019-10-26 21:42:09] DEBUG [_new_conn:connectionpool.py,225] Starting new HTTP connection (1): 127.0.0.1:8888
[2019-10-26 21:42:09] DEBUG [_make_request:connectionpool.py,437] http://127.0.0.1:8888 "POST /login HTTP/1.1" 200 51
[2019-10-26 21:42:12] INFO [send_email:sendEmail.py,51] 邮件发送完成！
[2019-10-26 21:42:12] INFO [run:run.py,28] =====================================测试结束=====================================
